Estimated Gas,Estimated Cost (ETH),Contract Address,Actual Gas Used,Actual Cost (ETH),Network,Actual Gas Price (Wei)
929579,0.000800936834081076,0x91b09fb91db1ae92be9aa0311bd68608958cc75d,921101,0.000793632083780844,sepolia,861612444
929579,0.000845809973541736,0xd5f16d897408303937169d82828810e0ef4de15c,921101,0.000838095968647384,sepolia,909884984
929579,0.000812285163330025,0x2d836e2abbb68cc2fc32d25353b675a606ed4455,921101,0.000804876913342975,sepolia,873820475
929579,0.000829569915143613,0x3e55c19004486c5e79b8c513ee472d6d7a814dd1,921101,0.000822004023766347,sepolia,892414647
929579,0.000883279876127971,0xb82a5e68128b2841584195836fd152d7a6944542,921101,0.000875224136067349,sepolia,950193449
929579,0.000897016608025622,0x390c321e4c7ff89297def38e516ef3cb5ba7c6d9,921101,0.000888835585430618,sepolia,964970818
929579,0.000868474727958775,0xf360f935c1abcdfb8c8d2fd68c4281f019c525a9,921101,0.000860554014664225,sepolia,934266725
929579,0.000869172613111341,0xfe613f2057e883c6bff8f48ad4c8fbb3e66b289e,921101,0.000861245534924379,sepolia,935017479
929579,0.000885323421700095,0xc1eb81570d9bec40ee83dc84b1b14bb01b4956e6,921101,0.000877249043977305,sepolia,952391805
929579,0.000914873102051055,0xd5fc78f34fdc1a57f8e7638e037267f455c33e4c,921101,0.000906529223629545,sepolia,984180045
