provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (ms),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used
http://localhost:8545,61,18,156.20,44.22,18.02,0.86,9.19,0x32b7880b6c58c37fed473d89482e5b5ab9cf7888fd4ab3e37425178561ce831c,2740671,2740390
http://localhost:8545,62,20,156.06,44.22,48.60,1.32,8.13,0x7c1659d5886d43dbd57cad5e704d88fe0dbd252f3fec009d46c05069e0839cf3,2740743,2740462
http://localhost:8545,63,18,156.21,44.22,17.21,0.87,8.17,0xaea5e9d8cbc3f7f0c99caac3e77e8ecbee80e08db565c20b213bba37a003435b,2740707,2740426
http://localhost:8545,64,23,156.06,44.22,23.11,0.87,9.14,0xd129c98b1997402bcaf6bdd7da812077a27a97691ec6eed017a95e1bd9e06c8d,2740680,2740399
http://localhost:8545,65,18,156.28,44.22,18.22,0.86,9.13,0x6ed5d2570bbe37131c2c0948d8390bb80263ab4bd1a5160dbf7072e4bfc6bdc3,2740773,2740492
http://localhost:8545,66,28,156.23,44.22,64.54,1.27,9.14,0x7108542aa3c560a69667a627598e8c92a03bf6041db5e42c8625bd21f4592653,2740761,2740480
http://localhost:8545,67,17,156.30,44.22,17.08,0.87,8.15,0x9221dfd2e49dad6b06f5f27e38985e6da00468dc808a5342c7e52edf6106830f,2740704,2740423
http://localhost:8545,68,32,156.07,44.22,27.26,0.87,8.12,0x9be9f66f6c0d86bdd9069d97428be0418aae389b5d16c0dfdb74c99ddde611b7,2740707,2740426
http://localhost:8545,69,23,156.22,44.22,23.30,0.86,9.14,0x6cff0df87b1f9dc0977b43199c5bd04ae0dfe42bb40631409810abff929d35f6,2740722,2740441
http://localhost:8545,70,27,156.17,44.22,72.83,1.52,9.14,0x45d0fff35a434242ba9d722f0a45cd88d0f0781c11c8cd717d31a715bae30afb,2740722,2740441
http://localhost:8545,71,18,156.47,44.22,17.39,0.86,8.13,0x6bddc11347333a6f1a3c405d8228380913585252bc6624e880392f60593a6fd4,2740698,2740417
http://localhost:8545,72,20,156.10,44.22,21.71,0.86,8.15,0x29c9d6b7fc3593770dbadd6ffb66c578e0f3859b958d1482d81bafe16defaca2,2740728,2740447
http://localhost:8545,73,31,156.16,44.22,31.53,0.85,9.15,0x29eee0c14c5eb44bb5ad84ee5240024474231f41ebab6ae0c19b701080735ae5,2740770,2740489
http://localhost:8545,74,25,156.18,44.22,60.93,1.47,9.13,0x3f6acc63c3fd272ab4c43b41bf6c322fa8a08507b0d8be568f19f8bde19abf09,2740746,2740465
http://localhost:8545,75,15,156.21,44.22,15.73,0.86,9.16,0x90df38627daa4faa2a197a23e27d5f8931367a2daa9681be6d56fa9273513a95,2740746,2740465
http://localhost:8545,76,17,156.08,44.22,18.12,0.87,8.16,0x75ec314f6b2f7c13408fb5456e3318c93a9e8fcdd46236bf0605e627f6b097bf,2740644,2740363
http://localhost:8545,77,21,156.19,44.22,24.44,0.86,9.15,0xafa82bfe06229320b25d34dec1bd77b46e944bf7997ad202cbece3568939ce1c,2740710,2740429
http://localhost:8545,78,37,156.33,44.22,99.68,1.51,8.17,0xceed280e432d855bf7f9445ff55f566103a25118d6844329d5a1ce2ee1b7add8,2740686,2740405
http://localhost:8545,79,20,155.91,44.22,20.39,0.87,8.18,0x5197e50c626b87ed25552073f517a809b0d9fdf4344f8212592ae02d8686bd5a,2740716,2740435
http://localhost:8545,80,17,155.93,44.22,16.20,0.87,9.14,0x64908c793c727e75f551fcd0dc252764d0064beee08a50a8eb3de366e22f7870,2740680,2740399
http://localhost:8545,81,24,156.16,44.22,24.11,0.87,9.16,0x2700f4811eaf0e0a523aef2b80468b106baf6d1f2e387d06bab2d80a93a71151,2740746,2740465
http://localhost:8545,82,21,156.17,44.22,49.37,1.53,8.17,0xb15a0b138b77531080ea0fbe8e762e3088b840eb51b32523b24e7d645dff5b75,2740719,2740438
http://localhost:8545,83,16,156.04,44.22,16.10,0.86,8.14,0xf18de144b32665cc6ed9aeea37115df4306cf5aec48538759bfa403e27d1fa11,2740776,2740495
http://localhost:8545,84,29,156.10,44.22,28.61,0.87,9.16,0x91610048636a0a8798d7620a8b5939897fbd80a97c10235aba9f6bded8979ead,2740752,2740471
http://localhost:8545,85,20,156.34,44.22,20.48,0.87,9.14,0x77862a4082283efad5c8618c73a1bc7b4163bc7f310771df58e145996aa3dd2d,2740734,2740453
http://localhost:8545,86,25,156.00,44.22,62.18,1.43,9.13,0xb91582d48a35cc4ce9f45666d23cdd74b421aa3320c66d93cbe44ea26f63c2a6,2740680,2740399
http://localhost:8545,87,16,156.36,44.22,16.03,0.87,8.14,0x40e66591f3021e155a2c8ca29bc37b6f0def3fcade4a9de50626bb9e7253bc1f,2740755,2740474
http://localhost:8545,88,19,156.15,44.22,18.91,0.87,8.13,0xedb95e34a9da053935041980cfb4763e5366e1519ae186d134c4dee1c54ad3ba,2740761,2740480
http://localhost:8545,89,20,155.94,44.22,20.15,0.86,9.13,0x9bf20b0e4e9c93bb8b64bffe0d3a93eebcd34da36ee8a6b21be77ef895e45819,2740746,2740465
http://localhost:8545,90,28,156.07,44.22,69.06,1.62,8.13,0x539f0b7dc048f40e6ac445a56dfaaf0fb373e8d8ab79e20dd78886140d540ef2,2740752,2740471
http://localhost:8545,91,27,156.20,44.22,26.29,0.86,10.15,0xf84b36a82e330551890fedd292a7124e2dccfd99882bb921df6c3f21ac441270,2740740,2740459
http://localhost:8545,92,21,156.17,44.22,21.20,0.87,8.12,0x941b792176fe944df98387c4751e02e3de3cecabe071ead6b86a8b5dc6012192,2740719,2740438
http://localhost:8545,93,16,156.08,44.22,16.14,0.87,8.13,0x792bcfac839b3ff14e6c6f52779ef30c723bf4f83b6546826924dc02367bea25,2740734,2740453
http://localhost:8545,94,30,156.03,44.22,77.10,1.44,9.14,0x41b16ab0c320a1feda968032cf8a0e50819bf18e93bf45a1344cf028169e9aaf,2740638,2740357
http://localhost:8545,95,18,156.15,44.22,17.86,0.87,9.18,0x1960cab0ed29409a09283881c71e00263aa203c8579c39e8dd60b28afc4c7d64,2740746,2740465
http://localhost:8545,96,26,156.38,44.22,26.96,0.87,8.15,0x521f91089fe33b668a8a6dfa34455b5adb361f58c72c4f3821f2fb9fb64c8f72,2740656,2740375
http://localhost:8545,97,27,155.94,44.22,24.72,0.86,8.18,0xbadf78e9011d639719cd4c261f92d894059cca41d94ca892d9beebb6b375c6e9,2740791,2740510
http://localhost:8545,98,28,156.27,44.22,61.19,1.49,9.16,0xde017732a2a27f08066b92ed14b26ae7e4b61b8a84a64db7167a449966a5472f,2740749,2740468
http://localhost:8545,99,23,156.05,44.22,23.10,0.86,8.17,0xa8a40054ef4ae7abece1eb9c100d05aaf41ad079cc423fd6be356ef8d7587871,2740770,2740489
http://localhost:8545,100,24,156.24,44.22,22.55,0.86,8.15,0xa961aa76843da8a66075ff94cb6e6c362460059d651ce410c29b254188e3d6c6,2740686,2740405
http://localhost:8545,101,17,156.13,44.22,18.58,0.87,9.22,0xade6ba7f345a00ee69121aa63999aae68ed658bb58594badba2ed9d98dac0369,2740776,2740495
http://localhost:8545,102,40,156.17,44.22,65.81,1.29,8.15,0x8812d374be0049258873b48be726439ad35a89c22d5b304695afeb1ce9adf92d,2740641,2740360
http://localhost:8545,103,20,156.08,44.22,19.52,0.87,9.13,0x502fe8235faa319cec6087c19a2e04fcc2f68ee213183e47970b4eefb013eaae,2740719,2740438
http://localhost:8545,104,18,156.30,44.22,17.61,0.87,9.13,0x8163c8057bad0dfba44dcec305579ee64b701369863757dfc1f5009c1534d59a,2740734,2740453
http://localhost:8545,105,17,156.11,44.22,17.53,0.87,9.15,0xeb78b125a3a595215903f4f82f9722f42521b53944d6ed2cf73ee76c49f1fcc7,2740743,2740462
http://localhost:8545,106,25,156.02,44.22,59.92,1.32,9.12,0x63992f7a896e397c401e66b8f0d506876c9b45a0d2e3db6dffa7d5a6293d463d,2740677,2740396
http://localhost:8545,107,19,156.16,44.22,18.67,0.87,9.14,0xdbc34d45ed4f67ac9e22820d3fcc362abb0587126d4156bd4324f202ef6445bb,2740686,2740405
http://localhost:8545,108,17,156.40,44.22,16.94,0.87,9.14,0x04989114e41f769eca73a7a4f485aac4ca9e74cedfbfe39ccaf7ae66ad33a2c1,2740719,2740438
http://localhost:8545,109,29,156.14,44.22,30.10,0.87,9.13,0x8ee2e80f9f29005c4466c527e6c9900b9f520ec09f16c8acb7369b7068548e2c,2740719,2740438
http://localhost:8545,110,18,156.17,44.22,49.44,1.57,8.13,0x7b124c15d7b1516a99e878a65f5ddc2c9f8d77c70c857ebdda0b20bff3b2e4bd,2740722,2740441
http://localhost:8545,111,20,155.95,44.22,20.47,0.86,9.14,0x3a98af23ca9efefa57e878b1f3e904f41cffebcc0427c8def41750d57254322c,2740824,2740543
http://localhost:8545,112,19,156.33,44.22,27.82,0.87,9.13,0x4fd8e3ea8b94672e6e4a58f91bddb730d2e17803107418c29ec4f67486acbb0f,2740794,2740513
http://localhost:8545,113,19,156.03,44.22,19.36,0.86,8.17,0x9c526d6d986c13b53e5e3304b85b7f69e1dcc14afb6c1cbe7ffdc9a0fdd7aa6e,2740704,2740423
http://localhost:8545,114,35,156.18,44.22,80.86,1.53,9.13,0xd74d2797b3a5d093dc314f32ba160013dccbf0c7fbfa9d579f4fd6b1ae8b9bb3,2740779,2740498
http://localhost:8545,115,27,156.22,44.22,26.71,0.87,9.12,0xda5933068488b357fecd4fb6a46718d625eae111a95dd996fa211ed5ee963301,2740689,2740408
http://localhost:8545,116,15,156.11,44.22,15.51,0.87,8.13,0xcc240364207d89904967b9d60dbc4cb8bf59cefcf884ea7853e5eb387bcb8b16,2740719,2740438
http://localhost:8545,117,18,156.06,44.22,17.85,0.87,9.21,0x27dc596b7a8b901df3a95f02189d9734aa536db3175fef876bb5f20ffbc1ca7b,2740701,2740420
http://localhost:8545,118,26,156.27,44.22,67.39,1.48,9.17,0x76fe312569a5f1b9cf04e038cd1602616a546a1972de2afa8497e31aa3ec2f46,2740803,2740522
http://localhost:8545,119,19,156.23,44.22,18.85,0.87,9.12,0xcd74eb877d2bd35b7a991282dd651834ec7b852cf157271b858ef95d9aa5af2d,2740749,2740468
http://localhost:8545,120,24,156.04,44.22,24.02,0.86,9.13,0xa6eab01b1c276ad6c910de45ecf02e1631838f251978afcb988c96480f99b894,2740743,2740462
http://localhost:8545,121,31,156.07,44.22,31.16,0.86,9.15,0x261d4ef515d2b136b2fa4a0ffda4eb0b2c8259e71e78dee30487163cc9720720,2740641,2740360
http://localhost:8545,122,25,156.18,44.22,63.73,1.52,8.14,0x2b6761399eb109b6c04a404d223e644f0dd818df0dc88ffee64da475c58a514c,2740776,2740495
http://localhost:8545,123,16,156.22,44.22,15.12,0.87,9.14,0xdbaf553f7a0cf6b9eefac62f3d5fe195aa0fdf56b6263382107a8b8f0119512e,2740698,2740417
http://localhost:8545,124,27,156.10,44.22,26.77,0.87,9.10,0x1afa58f8fd6287aac58af279eae518a228d96b2af84e190b5356035ccbfeb161,2740671,2740390
http://localhost:8545,125,16,155.98,44.22,16.22,0.86,9.16,0x6e185e1b868f81325471123c421de5a40363237b6e996732f0f4ad0e72faa3f7,2740722,2740441
http://localhost:8545,126,39,156.16,44.22,87.02,1.48,9.12,0x19d6e42286aa9afa1410e86ecb49f722fc37b995cef1f18def711a42099a64f4,2740728,2740447
http://localhost:8545,127,19,156.17,44.22,18.97,0.87,10.13,0x1bf32c8c794868737b1126c03dcf5bef12a9d7e457cccf5ce18e225a72cbb173,2740713,2740432
http://localhost:8545,128,18,156.39,44.22,17.69,0.87,8.18,0xe5a79e6fde70d967034c3f4723989db7f58fe32d4ce517e7708a713517331a8a,2740764,2740483
http://localhost:8545,129,19,156.10,44.22,18.83,0.86,8.17,0x79d9fc81143e5008e24704495e963e0184eb2dfce5409c14b39614b3509e94ad,2740701,2740420
http://localhost:8545,130,14,156.17,44.22,35.89,1.39,10.16,0xb3f42a76902d9b89633f67b3e8442f31dc5d96c66739a77f4b74d8c2fb0b00ad,2740761,2740480
http://localhost:8545,131,19,155.94,44.22,21.25,0.88,9.13,0x442e36a0fb466513e4a76b54e235eff8863d124093796759f8867fc875e1accb,2740686,2740405
http://localhost:8545,132,16,156.13,44.22,16.25,0.87,8.13,0x85ce9d7c9a4c2b360dc39ac7eab80749e508a37ce5a5dd8b06a2ca9d4d3f70b6,2740764,2740483
http://localhost:8545,133,14,156.21,44.22,14.31,0.87,9.13,0xe345562504fa6324436c73607c94238a682fe61b81af7a65d9d16195e1679da9,2740725,2740444
http://localhost:8545,134,23,156.28,44.22,60.33,1.46,8.15,0x370d38a97d51ea432b1570e6ec693b4ab125b7e1614434f0cccfad83cea363b9,2740659,2740378
http://localhost:8545,135,15,156.04,44.22,16.03,0.87,9.12,0x2b4b37befe0e2b08aff12c82efc83285665728aabf44e6a81021659dbef0fa18,2740782,2740501
http://localhost:8545,136,19,155.95,44.22,20.39,0.87,8.20,0x6f7f8df591e5414b9fa5164fbec2e5bd5e4f83d00d87ca153efaa1e98fb56b2a,2740758,2740477
http://localhost:8545,137,76,156.25,44.22,30.52,0.86,9.12,0xe6e1fdf08e60725c4b2c2b2804b73a9bcb50cfcee2ebb5153bdfda96eeaf01bb,2740734,2740453
http://localhost:8545,138,43,156.11,44.22,99.39,1.38,9.16,0x1c90dbd9208f6558949ae4e0c01bffe580dd40f61607ba927d1c8acfa4c82778,2740737,2740456
http://localhost:8545,139,25,156.17,44.22,27.28,0.87,8.15,0x9b95c11bdb72c659f4077d2ceae64380884f8407acb62417f6632236b572092b,2740770,2740489
http://localhost:8545,140,17,156.28,44.22,16.24,0.86,9.14,0x94329704a6c717705cbf6148f21218db2eb627eb72d8ee5da88e18fd0b09edc8,2740713,2740432
http://localhost:8545,141,14,156.18,44.22,14.79,0.86,8.13,0xf20ae51adf728fa66c871136f0245f9601a6d85bf5239d43649e334620fe60f1,2740782,2740501
http://localhost:8545,142,27,156.24,44.22,68.07,1.48,9.12,0x51015361fb1c1cfe2507e24190e1036fd9e6479cb025979d0d092a12b83bc4c4,2740788,2740507
http://localhost:8545,143,26,156.25,44.22,26.72,0.87,9.15,0x356a02bd404a57b60780397ea63088ee36e5eeb946d13aa8c1ccfe98c70a8d3a,2740722,2740441
http://localhost:8545,144,17,156.07,44.22,16.81,0.86,8.15,0x5fed57aa3d8d235a3dc7912ac9a9cce886eaf0c9371b1e53936b11992225c99c,2740716,2740435
http://localhost:8545,145,14,156.21,44.22,17.08,0.87,9.12,0x234d40f93b83aa06148d80ae0b587d5569b77646d6ca051c3e5cc215f35b1dd0,2740716,2740435
http://localhost:8545,146,31,156.19,44.22,63.49,1.67,9.14,0xc522eb1e65ad4316c479194bb5436901668f79acbcbb0be1d42f4bb54a245d7d,2740788,2740507
http://localhost:8545,147,18,156.24,44.22,17.89,0.86,9.15,0x6731ab80d8a8b2442a3d3fac446a27ea8f07fdc5f57f6abd8177ec4ccc1a5bed,2740728,2740447
http://localhost:8545,148,15,156.37,44.22,14.18,0.87,8.12,0x7cff1a2347065521be428d780fea5a59391cdd479553fbc0c2e3d576bf7b9fc0,2740770,2740489
http://localhost:8545,149,18,156.20,44.22,17.99,0.86,9.13,0x186a6f47228d33f22766eed3f42be99fe3df2fe4d04fd73218db1cce9c37f7f7,2740761,2740480
http://localhost:8545,150,23,156.29,44.22,51.06,1.62,9.12,0xaa91dd4f5fc59612103b2550472dfd8c6c65bb88d1fa56c07cbc555f95384de6,2740761,2740480
http://localhost:8545,151,18,155.96,44.22,18.23,0.87,8.15,0x93d172a9b0b388a470c14638b25350ed4a144bcb14636410cc2039c88f87aef7,2740668,2740387
http://localhost:8545,152,25,155.97,44.22,24.44,0.87,10.18,0x9173e6d619b5a2e90cd156315ae119568cf075e9027eef11de75682a19dd2d89,2740716,2740435
http://localhost:8545,153,20,155.98,44.22,20.61,0.87,8.14,0x27886aff8677a68a4ead61682b1c62445120fc976f8ced310e8664316544dffe,2740671,2740390
http://localhost:8545,154,29,156.07,44.22,81.98,1.86,7.15,0x7b6fafff5595ba3e18374cd538b0cbdc4cbf13ba24e337a708dec6216cd1bd6b,2740707,2740426
http://localhost:8545,155,18,156.32,44.22,17.11,0.85,10.11,0xa1578dfd59a36bec1375c214c7ce33d65e00d5b83b8ed80e109db2d4248af2c0,2740788,2740507
http://localhost:8545,156,22,156.27,44.22,21.97,0.86,9.13,0x109a6d9dfee9380b368b5a5b5c2a5078a6c00b9e4c0551ce6338b8ee3e6ec33b,2740734,2740453
http://localhost:8545,157,17,155.93,44.22,16.66,0.86,8.16,0x18045583b63813571460f1806bfe5e5809f4b1830c9b4db7884a33b7d43d8a9f,2740737,2740456
http://localhost:8545,158,27,156.31,44.22,67.51,1.47,9.18,0xf58ed962f406498c69668d953b9d25155afdfce9dd39ff677e688aed9a7c7179,2740800,2740519
http://localhost:8545,159,22,156.19,44.22,22.62,0.87,10.14,0x93c31726b5f70f373b2475668e77c0dc84893d6a87b671c21019812c3632027d,2740773,2740492
http://localhost:8545,160,17,156.18,44.22,17.12,0.86,8.13,0xeec34cfec83868e65058c9fbe23a2965dd2def45d30174b54fa9c4571e0511b6,2740770,2740489
http://localhost:8545,161,21,156.20,44.22,24.33,0.86,9.13,0xf21353cbc51fe72123c268c55b1b6278ace04adac6e4f297a8df094473408d15,2740698,2740417
http://localhost:8545,162,24,155.85,44.22,62.91,1.54,8.15,0xd91145a32a5728bc621a0ffc967eef12a67a636bc56fb12a17ae1c97f2df91a1,2740785,2740504
http://localhost:8545,163,16,156.22,44.22,16.72,0.87,8.16,0x732e44148f75391c2d0bcb2b2c588d01205ff198b866ea4555f530865ed0ad5b,2740797,2740516
http://localhost:8545,164,13,156.30,44.22,12.42,0.86,8.13,0x52c7da04692d50449dd27279b0bcde9da87f4d3b9d93394b20629c0b27924a9a,2740764,2740483
http://localhost:8545,165,20,155.97,44.22,20.20,0.86,10.21,0x1682b12313f6b6f059196531b1bbdd48cc0d3746756b654497a2f32c099dbe0c,2740740,2740459
http://localhost:8545,166,21,156.05,44.22,51.14,1.31,9.12,0xe1dd36344fd27b57464ea613014154d9e64df67f1f0a5896747b4ce797313a57,2740749,2740468
http://localhost:8545,167,20,156.23,44.22,29.68,1.04,9.15,0x1bd6733d012dcf2f93b0634172fca9af03ed1441e8b70d24d484cb998cf7abbd,2740848,2740567
http://localhost:8545,168,18,156.13,44.22,18.30,0.87,8.20,0xde80d5fa9a1431a566d812b21df54e3101c631a7bb1473c73518797691f5f585,2740728,2740447
http://localhost:8545,169,21,156.27,44.22,21.11,0.86,9.14,0xa29173e3b10cf6012e9ff3972b741bf0d223da8d20e742fd3e5528d37e8b2c65,2740731,2740450
http://localhost:8545,170,25,156.20,44.22,48.68,1.46,9.14,0x222842d4aa1d4fe8fcf6126701f064db6933045beb8346cc199117860ce09320,2740704,2740423
http://localhost:8545,171,18,156.12,44.22,17.85,0.87,8.13,0xe5b2f8bbcf4054c343d098940a4cc20a4dbeec4cbc73988979a359dfd7915191,2740665,2740384
http://localhost:8545,172,17,156.39,44.22,17.26,0.87,9.17,0xc0ca7b1ad1d9f78ff2f3ab4b3ba8ebc4db4bed03ad189709db1a3f32d3d94dc1,2740734,2740453
http://localhost:8545,173,15,156.21,44.22,18.00,0.88,8.12,0xb98be96b2e6e73f8ac344b622aceca5e8428957d52fe4035e7cea9dc92bd3776,2740728,2740447
http://localhost:8545,174,25,156.07,44.22,70.66,1.76,9.13,0xc983f0f79a9e49c8e7ca8c1857e93a07e0df701fe2b7eb6fe5e157d9e90add05,2740773,2740492
http://localhost:8545,175,15,156.02,44.22,15.21,0.85,9.14,0x29bc8ec9858717feeacf21959f2f704e3866b347b493b0584c71f16ccb27a134,2740755,2740474
http://localhost:8545,176,17,156.16,44.22,16.48,0.85,9.17,0xc621bee24c2fe53610ab0f5ddf7ff94788c7c51d915d13bbe6042466f4d785f5,2740635,2740354
http://localhost:8545,177,27,156.23,44.22,26.35,0.86,8.15,0x60b4abe65c072605296260faf905e226d702ca11c2a48190ff101892753f7be5,2740749,2740468
