provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (%),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used
https://devnet.zama.ai,35,15,156.19,44.22,23.08,0.87,3.02,0x4a951474e11518a5ac20e060a2aa4c83d2f497d1bd403d0c9d39e5b9e8ed16a3,1187700,1187411
https://devnet.zama.ai,36,16,156.24,44.22,41.67,0.87,4.06,0x47fd0cf9b29a6e56a99d8a170cf9f3155226e4e2654aff7df56b39114ecc4a92,1187727,1187438
https://devnet.zama.ai,37,18,156.15,44.22,38.46,0.88,3.82,0xdad828e13b1c7f40d52a4dae254a6f72e3270def3f5b6133370b67d12f4ea520,1187769,1187480
https://devnet.zama.ai,38,14,156.25,44.22,11.11,0.87,7.99,0x6f901ffa0e6d4fb2e71b3be9503379b6dfb0302fdee3802a9c8e545a146e5da0,1187721,1187432
https://devnet.zama.ai,39,33,156.13,44.22,96.30,0.16,3.47,0x55498ccbd387c47d4b0e255b3746749224efdbd667099306620374533b759da0,1187778,1187489
https://devnet.zama.ai,40,28,156.03,44.22,66.67,1.35,4.10,0x53cbdf42f9f374913e40e41d052d0fbd8be509fd9f0259237a01898aca474ac1,1187778,1187489
https://devnet.zama.ai,41,21,156.12,44.22,47.37,1.44,8.19,0x915ee362fcb23234431f9b9eb09ac913fb4aa77ea1ee6deac57ac4c757de6da2,1187757,1187468
https://devnet.zama.ai,42,12,156.06,44.22,12.50,0.87,3.79,0x517de7f7d57ffdbd6dcb82cf5c76850e5f5e1fefae14d4c8e82f8ebfd7c24947,1187778,1187489
https://devnet.zama.ai,43,13,156.41,44.22,30.00,0.87,3.98,0x2f0d8174639ec6b5ab1c5f1b3635cb0d116d6aee1027cb70f9b3e883e7cb970d,1187715,1187426
https://devnet.zama.ai,44,13,156.23,44.22,36.36,0.86,7.97,0x7611e6b1cf61b3f745a3b908bb8399f8e0e299c617789ccb90157f56ec9bd242,1187718,1187429
https://devnet.zama.ai,45,21,156.17,44.22,40.00,1.31,4.10,0x5cbd7563a36859cf35722ee0c698d1f093c14ebf2bb2584090761ff4a68fc29d,1187751,1187462
https://devnet.zama.ai,46,15,156.22,44.22,20.00,0.86,8.28,0x27ff1c2e0fb80cf06e153df96ac276f452ce10d3b37cf1e0568e1d816b978948,1187748,1187459
https://devnet.zama.ai,47,19,156.23,44.22,41.18,1.32,8.07,0x25bf0c368553f7b53d9e533b25554a6f69a1bdca8c2e5337fa9dc923a566fc7e,1187715,1187426
https://devnet.zama.ai,48,18,155.99,44.22,33.33,1.56,4.07,0x476f46291e65bcf44b21dae7099e0f7a863a454aa3f1ef5cc7ac760c1f1b18fa,1187799,1187510
https://devnet.zama.ai,49,17,156.12,44.22,33.33,0.88,3.81,0xadd87d1df1bf851089c00f473b060051241c4826d384ba02a018e2841b8e1156,1187748,1187459
https://devnet.zama.ai,50,22,156.32,44.22,30.77,1.22,3.72,0xeb0b67439edbe737913893320e3f14d50d39bd92566d09165eaa2339cb784bed,1187835,1187546
https://devnet.zama.ai,51,15,156.12,44.22,18.18,0.87,7.96,0x4f7a59182e82f68fbdf7bea452ae3957bd9c435dd988f810c6d5fd0774643ddc,1187772,1187483
https://devnet.zama.ai,52,14,156.26,44.22,30.77,0.86,8.11,0x686dfb5d027ae60f134e4a31162fbdc8db951823fab1bb60455d3377f540aefa,1187739,1187450
https://devnet.zama.ai,53,14,156.34,44.22,23.08,0.86,3.89,0xef671da4fd93a60ef90548510cab0a4a0fa241e753488be047c093906a5a4e93,1187859,1187570
https://devnet.zama.ai,54,19,156.00,44.22,53.33,1.34,3.71,0xc78c4966e3c47f8c0ab6fe4dd6fe8b104d3ce25e68940f9228e809c348675c35,1187751,1187462
https://devnet.zama.ai,55,13,156.24,44.22,30.77,0.87,3.98,0x337310cfcfdfdf433a473ff9a129404ef913ac847c557e0e593017d2c299d98f,1187763,1187474
https://devnet.zama.ai,56,13,156.13,44.22,36.36,0.87,8.87,0xb5465a4477ffac12a0fdbacd042d5982fcc48adbca7e4ff7706f5c69014a39d3,1187730,1187441
https://devnet.zama.ai,57,15,156.12,44.22,40.00,0.87,8.09,0x568e4d13f0804bb25841c9f1b23d03692c398ec8d5e98fcfdc30c77918728653,1187739,1187450
https://devnet.zama.ai,58,20,156.33,44.22,35.71,1.64,3.79,0xd17e65d7a8552508cef9886afefba011432e3f978980659c263d59183e68b360,1187742,1187453
https://devnet.zama.ai,59,14,156.10,44.22,33.33,0.87,8.08,0x4ced8ef1d405609baaaebe6889c4f7742e7f8865777d0043a3cb0021dc126385,1187757,1187468
https://devnet.zama.ai,60,20,155.91,44.22,46.67,1.35,3.23,0x333718db5b57c978d4c54f9d0facf1466ae5b8a17c0e77da00b0b982f1fcd4ad,1187730,1187441
