provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (%),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used
https://devnet.zama.ai,35,24,156.08,44.22,66.67,1.36,8.35,0xc1ff2b174975d3adada591a3fcfc7abcfa654a8294f63b49768d27437cb1faa9,2740746,2740465
https://devnet.zama.ai,36,15,156.10,44.22,22.22,1.33,8.38,0x8a050ab118431818c842dba28b984315886e123fe0332a61ca080cbdb84d82b7,2740701,2740420
https://devnet.zama.ai,37,13,156.15,44.22,30.00,0.87,7.32,0xf6c35399c1a73304fa828141a3505cd240d2d66c6f614fc3bdbbf9fce8fb4dde,2740722,2740441
https://devnet.zama.ai,38,12,156.23,44.22,30.00,0.87,8.20,0x2b0ed11e66369bf7cc425bc5f126c2a71751ef5a6d3bfb5f66153431d1747539,2740734,2740453
https://devnet.zama.ai,39,13,156.10,44.22,45.45,0.87,7.31,0x86b34bbd240ccf0d734b2c5c51470ca61a18820b642e61f886c1f5fe4dea58d2,2740779,2740498
https://devnet.zama.ai,40,16,156.04,44.22,50.00,1.31,8.32,0x232bb2bc8d7821bcb92f687bdd50980216893c26cce76101d9309dfb43c33c1f,2740680,2740399
https://devnet.zama.ai,41,14,156.26,44.22,10.00,0.87,10.13,0x4ebbb71d0235e93b1d2e364f5f062c1088dd8e01d2ce9926f00802d13ce3f2d6,2740794,2740513
https://devnet.zama.ai,42,13,156.18,44.22,18.18,0.87,8.41,0x582c6cd688b5db8f1f5262e2d86d1575add82585a3fe61dc29f96841754c4149,2740767,2740486
https://devnet.zama.ai,43,15,156.26,44.22,18.18,0.88,7.34,0x471db9494523d29d9514846d582a976acde2cd225cba679a7a2a9a575fd6e24e,2740710,2740429
https://devnet.zama.ai,44,15,155.96,44.22,41.67,1.42,8.17,0x114be8cd65ddfd25f594c0a5dcc3dc6edbd3b8058160954840fb6c2af4135588,2740722,2740441
https://devnet.zama.ai,45,16,156.25,44.22,25.00,0.33,8.23,0xe13e58a65a55e7629037cc51925eb98754913cd49907a4425bfc1530e49aabe0,2740758,2740477
https://devnet.zama.ai,46,18,156.16,44.22,40.00,0.62,7.25,0x8a2e5ba3b77f01232c1a3722180697471ce5e8268ac90435f45b65304c4be329,2740677,2740396
https://devnet.zama.ai,47,19,156.16,44.22,28.57,1.28,8.40,0x330eb3adbcd176f33657563a0552f9afe717356575cfc72177e6af9af96ac286,2740698,2740417
https://devnet.zama.ai,48,15,156.26,44.22,38.46,1.81,8.30,0xf9de4fce9b964ad0cb18f0286294a52a88501fbd325cbe4b7dfd505c7ed1cb87,2740731,2740450
https://devnet.zama.ai,49,14,156.08,44.22,11.11,0.85,8.12,0x8a864198412be732f2686e16bc22efa661015080bd2322f9df946908fa3b0590,2740749,2740468
https://devnet.zama.ai,50,21,156.16,44.22,38.89,1.34,12.45,0xc3f41a68cef47867b140943676cf4b4b80b10c5cd8ac9543e831298626784fc1,2740746,2740465
https://devnet.zama.ai,51,21,156.37,44.22,43.75,1.58,8.10,0x5633ab38558cbc2752e764ccbc7a143e5fd06f01919cf8fe7a978e47ce12c018,2740794,2740513
https://devnet.zama.ai,52,23,156.08,44.22,60.00,1.54,8.29,0xf074e66240d59fa1438ac85b6cd09692ac77638e35603eb9f62d67b97e0d87b0,2740695,2740414
https://devnet.zama.ai,53,15,156.22,44.22,31.25,0.88,12.21,0xceea74505f4f167a831596632cdb09e70c7d727973631a2518bcb34cc5b9c71b,2740704,2740423
https://devnet.zama.ai,54,15,156.18,44.22,30.00,0.87,8.11,0x558893b0f4eb9adf62fbc228e03783575d3a037ad68e084f4d7c112914ca645b,2740740,2740459
https://devnet.zama.ai,55,14,155.87,44.22,33.33,1.76,8.38,0x17c658e5a7f6951c21f1e07f14411d8c5012d35c4e0ef6c262277bdefb5441dc,2740743,2740462
https://devnet.zama.ai,56,17,156.07,44.22,30.77,0.88,12.19,0x9c0cfaea7bda3f9d51f6420e894022f9023048ed8ef87f2ab6efc9df450ff865,2740704,2740423
https://devnet.zama.ai,57,16,156.01,44.22,46.15,1.46,8.13,0xcd1148329b37c87fb33df5d1cd688d62152d0c1433c931bd7c12499ff21ec384,2740716,2740435
https://devnet.zama.ai,58,15,156.27,44.22,46.15,1.34,7.11,0xa16220be2b3feb76d5b7b064849a805d1ab734f6ab0153ee7c37346c1d204117,2740806,2740525
https://devnet.zama.ai,59,19,156.23,44.22,53.33,1.68,8.33,0x52c7c8e6211f5fe96c16a5beea685f78a953eba1dc2d7765402b2b06ed607b27,2740710,2740429
https://devnet.zama.ai,60,13,156.21,44.22,25.00,0.86,9.40,0xed4032f1adfe479fe7c7c93bc01ae22c20fa5ce2df8947ee4f9587361f2898a0,2740803,2740522
https://devnet.zama.ai,61,20,156.18,44.22,46.67,1.34,12.22,0x719054563f10457acd9843c6939331a50d3173dc3001a258c1bbb8133b19954d,2740698,2740417
https://devnet.zama.ai,62,15,156.21,44.22,61.54,1.78,7.43,0x8d91dfa3d88520da1435a581c9b36ac795df128ab418533a1c8faf6d90a5d3e5,2740728,2740447
https://devnet.zama.ai,63,13,156.26,44.22,30.00,0.86,8.29,0x61ba605b36aa9939b72f1d0d1f90a8b685a9fac8c2165eeda01b70eaec696017,2740764,2740483
https://devnet.zama.ai,64,13,156.18,44.22,20.00,0.86,8.37,0x284b50a2eddfbcbb1bb5486e13755be03dc402cdfe2bcfb45da9540115232ee2,2740680,2740399
https://devnet.zama.ai,65,19,156.18,44.22,42.86,1.35,12.06,0x16cbb3cf16fd45d2d7e4515024555d53b441b401b4bef1b08a75721d198ac0cf,2740803,2740522
https://devnet.zama.ai,66,13,156.19,44.22,20.00,0.86,8.21,0x3f12e0570c4f2e59e92f3f3ab0ec6694bef19f39d05610899344dac616052e2a,2740683,2740402
https://devnet.zama.ai,67,15,156.11,44.22,50.00,1.50,7.44,0x24adedc6597d580635640cf92854612df61d02ab8f2a5ee684ac4f4bef4fa38d,2740689,2740408
https://devnet.zama.ai,68,18,156.22,44.22,41.18,1.46,7.44,0xe5dff6866e1af1193c5d53e8e56e89d81d92b20e2e453d5e601b825e0cde29f3,2740743,2740462
https://devnet.zama.ai,69,14,155.93,44.22,46.15,1.61,9.19,0x4befa1402ab58aecb0da4541e9102953b3b76487088efe1cb7c17bf89116e1aa,2740743,2740462
https://devnet.zama.ai,70,12,156.25,44.22,36.36,0.86,8.19,0xbbb1251d621d4c6a1280da6111ba4c6fff47cd65893a859646cee57eadf71a39,2740752,2740471
https://devnet.zama.ai,71,18,156.25,44.22,41.18,1.38,7.18,0x8799408513d809b7d4b285fbfdb64d5daf693c976015e28f7668705b4eac6400,2740701,2740420
https://devnet.zama.ai,72,13,156.17,44.22,11.11,0.87,8.25,0x47c0c0e2b806ad73258f80811e4394ddcafeea16e90e0dadb5b053aa6925ebb7,2740734,2740453
https://devnet.zama.ai,73,13,156.04,44.22,12.50,0.87,8.04,0xab08ad88398a88198154a05ecf9b06412c6f68420f4f9be87eb74200a1f61613,2740767,2740486
https://devnet.zama.ai,74,13,156.12,44.22,22.22,0.86,8.22,0x7963b4faa34a844bf8930c0a2de8e3ec5a00a1aa0e804b8b8bb0fe0eabe8a81d,2740791,2740510
https://devnet.zama.ai,75,19,156.33,44.22,47.06,1.29,8.39,0xa44901327178759c153a213af2fceff000668d6e507b7dfb1d31e9020158ab18,2740797,2740516
https://devnet.zama.ai,76,14,156.19,44.22,18.18,0.87,7.14,0x00bcf60b3705f9a6087fc30ad3097ffd5cf368c72225c6ca09c4aa52dc7c3689,2740761,2740480
https://devnet.zama.ai,77,12,156.26,44.22,22.22,0.87,8.34,0xc984a1715aa37b3723e4e24aa018ea1892644f9d298a97f723a880c6a6d80f3b,2740761,2740480
https://devnet.zama.ai,78,12,156.37,44.22,20.00,0.86,8.20,0x3c1a989690d67ee6107f23579b9edcba19c9a1714f2f7373b63067691e7ac421,2740716,2740435
https://devnet.zama.ai,79,21,156.21,44.22,37.50,1.56,7.36,0x2211c1a8a7e0f9f8ae5c2396a95459cde48b8cbf1e8b75a380c986499f6a37fc,2740695,2740414
https://devnet.zama.ai,80,13,156.00,44.22,30.00,0.86,8.27,0xa3c715a1854bc2cb2929aadebe81aba12f6c39b9830b1a55a6c2ddb5f554d26c,2740776,2740495
https://devnet.zama.ai,81,12,156.18,44.22,11.11,0.87,8.49,0x7449e34b222d056231bcb9ce8e71f1331ee9ef6d9b0d73050e08dc31829262cc,2740668,2740387
https://devnet.zama.ai,82,12,156.19,44.22,12.50,0.86,7.09,0x382c594cba74bff78fd75e896c462c13773a9706a76775401852158813340331,2740731,2740450
https://devnet.zama.ai,83,14,156.18,44.22,27.27,1.32,9.19,0x42101996df6e8ef73c73acf09ff788f30e12f7f4447f4ca9f1bd446233f230f7,2740806,2740525
https://devnet.zama.ai,84,14,156.20,44.22,9.09,0.87,7.29,0x1ae777c0d81f390955baf59f16cbf070e8085e7a04facabeab5ff0abb67966a6,2740704,2740423
https://devnet.zama.ai,85,13,156.11,44.22,11.11,0.86,8.16,0xfd5d2060224443e8e0815b6a9158e2f4ee8b38ba871e113cedc1425fb14a1b12,2740809,2740528
https://devnet.zama.ai,86,13,156.31,44.22,20.00,0.88,8.35,0x5b5ef918181f8117628943ba48fde7cb6d9922cf918ddceca93a3f64f2076dc7,2740800,2740519
https://devnet.zama.ai,87,19,156.07,44.22,42.11,1.57,8.29,0x80e9b62d7c42d088268f142a174ff31ea875659c70c000b4f2cd4d21aded6d5d,2740767,2740486
https://devnet.zama.ai,88,12,155.98,44.22,20.00,0.87,7.37,0x8fe5229b7372c69be55d6322ee101e5264cc28b9ba692ea4f91212efa7e84b94,2740752,2740471
https://devnet.zama.ai,89,12,156.14,44.22,11.11,0.87,8.51,0x3a8db2a6725e3d5fb716d9831bdd8dadc121ee3fe2cd6956d8a11fddab77d297,2740716,2740435
https://devnet.zama.ai,90,13,155.93,44.22,33.33,0.86,8.23,0xfcd30456a6b46983983a6d2d3cbe7e9d0203aecf6c409f20fd335cbf4745e340,2740758,2740477
https://devnet.zama.ai,91,20,156.07,44.22,40.00,1.50,12.50,0xeca17eab49b49ebd97aabf2795bb38bb4483b2b06b537617f1eb32fdd578f865,2740752,2740471
https://devnet.zama.ai,92,12,156.10,44.22,12.50,0.86,9.32,0x4754bcfffb7e66406d77dc3dfe2c6a3d1707a4f9bed0688b034843b45d65240a,2740719,2740438
https://devnet.zama.ai,93,12,156.25,44.22,11.11,0.85,7.48,0x50133a233016f8a6ac5a2148f7ac40109bf3d04ab76cb1ff7152d7ab38d1e739,2740671,2740390
https://devnet.zama.ai,94,15,156.25,44.22,36.36,1.79,8.39,0xc68f42ebd2759f19d8d04a3f52ca0f6e78e9d55e7d0017faac22d76c7b2e205f,2740695,2740414
