requests,timestamp,encryptionTime_s,cpuUserDelta_s,cpuSystemDelta_s,rss_MB,heapTotal_MB,heapUsed_MB,external_MB
50,2025-02-25T17:07:18.348Z,0.593,0.53504,0.055873,315.4453125,232.40234375,202.01824951171875,29.033475875854492
50,2025-02-25T17:07:18.353Z,0.598,0.539797,0.055873,316.4765625,232.8203125,202.86148834228516,29.548928260803223
50,2025-02-25T17:07:18.358Z,0.602,0.544685,0.055873,317.25,233.23828125,203.7044906616211,30.064454078674316
50,2025-02-25T17:07:18.363Z,0.608,0.550134,0.055873,318.0234375,233.65625,204.49163055419922,30.51737880706787
50,2025-02-25T17:07:18.369Z,0.614,0.555782,0.055873,319.3125,234.07421875,205.33483123779297,31.03279685974121
50,2025-02-25T17:07:18.374Z,0.619,0.561018,0.055873,320.0859375,234.4921875,206.1777114868164,31.54825782775879
50,2025-02-25T17:07:18.380Z,0.623,0.560879,0.061345,321.1171875,234.91015625,206.965087890625,32.001370429992676
50,2025-02-25T17:07:18.385Z,0.629,0.563135,0.064632,321.890625,235.328125,207.8082275390625,32.516716957092285
50,2025-02-25T17:07:18.390Z,0.634,0.567402,0.065233,322.6640625,235.74609375,208.6509552001953,32.96979522705078
50,2025-02-25T17:07:18.396Z,0.64,0.573076,0.065237,323.6953125,236.1640625,209.43866729736328,33.48515510559082
50,2025-02-25T17:07:18.401Z,0.645,0.578139,0.065398,324.46875,236.58203125,210.28165435791016,34.00071048736572
50,2025-02-25T17:07:18.406Z,0.65,0.583251,0.065401,325.5,237,211.12430572509766,34.45364570617676
50,2025-02-25T17:07:18.411Z,0.655,0.588274,0.065473,326.2734375,237.41796875,211.9121551513672,34.969178199768066
50,2025-02-25T17:07:18.417Z,0.66,0.593441,0.065476,327.3046875,237.8359375,212.75506591796875,35.48465919494629
50,2025-02-25T17:07:18.421Z,0.664,0.598123,0.065504,328.078125,238.25390625,213.59761810302734,35.93754291534424
100,2025-02-25T17:07:19.202Z,0.758,0.745036,0.118336,297.83984375,163.47265625,138.60057830810547,16.8154878616333
100,2025-02-25T17:07:19.208Z,0.764,0.750197,0.118339,298.35546875,163.890625,139.56295776367188,17.330795288085938
100,2025-02-25T17:07:19.213Z,0.769,0.755219,0.118461,298.87109375,164.30859375,140.40386962890625,17.783635139465332
100,2025-02-25T17:07:19.218Z,0.774,0.760673,0.118464,299.38671875,164.7265625,141.19170379638672,18.299095153808594
100,2025-02-25T17:07:19.223Z,0.779,0.765351,0.118535,299.90234375,165.14453125,142.03563690185547,18.81453800201416
