Category,Time
10,0.000085
10,0.000088
10,0.000093
10,0.000097
10,0.000101
10,0.000136
10,0.00014000000000000001
10,0.00014399999999999998
10,0.000148
10,0.000152
50,0.00038500000000000003
50,0.00039
50,0.000395
50,0.000399
50,0.000402
50,0.000406
50,0.00041099999999999996
50,0.000416
50,0.00041999999999999996
50,0.000424
50,0.000429
50,0.000433
50,0.000438
50,0.000443
50,0.00045
50,0.00045400000000000003
50,0.00045900000000000004
50,0.00046300000000000003
50,0.000467
50,0.00047099999999999996
50,0.00047599999999999997
50,0.00047999999999999996
50,0.000483
50,0.00048699999999999997
50,0.000492
50,0.000496
50,0.0005
50,0.000505
50,0.000509
50,0.000512
50,0.000517
50,0.000521
50,0.0005250000000000001
50,0.00053
50,0.0005340000000000001
50,0.0005380000000000001
50,0.0005430000000000001
50,0.000546
50,0.00055
50,0.000555
50,0.000558
50,0.0005629999999999999
50,0.0005669999999999999
50,0.000571
50,0.000575
50,0.00058
50,0.000584
50,0.000589
50,0.000593
50,0.000598
100,0.000638
100,0.000643
100,0.000647
100,0.000651
100,0.000656
100,0.00066
100,0.000664
100,0.0006670000000000001
100,0.000671
100,0.000675
100,0.000679
100,0.000683
100,0.000687
100,0.000691
100,0.000695
100,0.000699
100,0.000704
100,0.000709
100,0.000713
100,0.000717
100,0.000721
100,0.000726
100,0.00073
100,0.000734
100,0.0007379999999999999
100,0.000742
100,0.000747
100,0.000751
100,0.000756
100,0.00076
100,0.000764
100,0.000768
100,0.000773
100,0.000777
100,0.000782
100,0.000786
100,0.00079
100,0.000795
100,0.000799
100,0.000803
100,0.0008060000000000001
100,0.0008110000000000001
100,0.000815
100,0.000819
100,0.000823
100,0.000829
100,0.000833
100,0.000837
100,0.000842
100,0.000846
100,0.00085
100,0.0008539999999999999
100,0.000858
100,0.000861
100,0.000865
100,0.000869
100,0.000874
100,0.0008810000000000001
100,0.000885
100,0.000889
100,0.000893
100,0.000898
100,0.000902
100,0.000907
100,0.000912
100,0.000916
100,0.000919
100,0.000924
100,0.000928
100,0.0009320000000000001
100,0.000937
100,0.000941
100,0.000944
100,0.000949
100,0.000953
100,0.0009559999999999999
100,0.0009599999999999999
100,0.000964
100,0.0009699999999999999
100,0.0009739999999999999
100,0.000978
100,0.000982
100,0.000985
100,0.0011
100,0.0011040000000000002
100,0.001108
100,0.001113
100,0.001117
100,0.001123
100,0.0011259999999999998
100,0.001131
100,0.001135
100,0.00114
100,0.0011439999999999998
100,0.001148
100,0.001153
100,0.001158
100,0.0011619999999999998
100,0.001167
100,0.00117
