Provider,Row Number,Transaction Size (KB),Client CPU Time (ms),Client Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used,Transaction Cost (ETH)
https://sepolia.drpc.org,30,0.16,0.05,0.00,10.91,0xece067636d7ecf5af78d486a5bd2ab8a4b99929d6647ab33761ee65d64d5d7cb,354216,353908,0.000719019975933316
https://sepolia.drpc.org,31,0.16,0.05,0.00,11.86,0xc015afa8cece641b53efddfb0f7eb053ee24f0919eb954c6afe80d6105247555,354216,353908,0.000718288011374844
https://sepolia.drpc.org,32,0.16,0.04,0.00,11.85,0x114c9cdedfba1f92230b9387c1c98f386cd39cd206c9aaffbb69d5e32dd0b65e,354216,353908,0.000719552347350936
https://sepolia.drpc.org,33,0.16,0.04,0.00,11.86,0x4ed7a715258f6c225bf9f893f95915b93194110c3066c4f5f76ea81a612d4163,354216,353908,0.00071938840937936
https://sepolia.drpc.org,34,0.16,0.05,0.00,12.71,0x921d579758397e26c7f0436952d3bb44fe307addbcc1d8849a0ddbc769a69a7e,354216,353908,0.000719247779080848
https://sepolia.drpc.org,35,0.16,0.05,0.00,10.76,0xbd9d8d2a69fdb701b82ed542868da3a2c730e2c5737beaf0048724e43896e2b1,354216,353908,0.000718905649846904
https://sepolia.drpc.org,36,0.16,0.06,0.00,11.78,0xc8759a1493a55ebab72637351bae75a8b4b8bf1857176dd1c581e2b766b9ff50,354216,353908,0.000718362410976328
https://sepolia.drpc.org,37,0.16,0.04,0.00,10.81,0xc4a7336620fcd7a5f9d271dc91a55717020dad9a9f59d96e303e1469ae0a82b2,354216,353908,0.000719636365817952
https://sepolia.drpc.org,38,0.16,0.04,0.00,10.80,0x7dda80b89913b9652c3e4b080235a6d627aced2d302e87b8373f121e95640473,354216,353908,0.000719838047369912
https://sepolia.drpc.org,39,0.16,0.06,0.00,11.87,0x03a85902d7eb8a3d7deee786ff963151a362e55e5f196908cfd7353d93619164,354216,353908,0.000718958784886208
https://sepolia.drpc.org,40,0.16,0.04,0.00,11.81,0x6b63bc22b0ee4058d1e2bbba472d11529e488352b2b6e965d59693cd573aa6c4,354216,353908,0.000719626483644868
https://sepolia.drpc.org,41,0.16,0.04,0.00,11.74,0x81bd549c648cb98e91f65e0f5910cd31743b302706ccc73d190707452901277e,354216,353908,0.000719592229597364
https://sepolia.drpc.org,42,0.16,0.06,0.00,11.84,0xa8945ed1bc0213e7e5b02f64d6096a02ade3d1fcba2984572e335bd64b1efa18,354216,353908,0.000718981902864584
https://sepolia.drpc.org,43,0.16,0.04,0.00,10.72,0x6c3dee21f8f9896947d0d71130b268293749b3601870f8208fa502c63fc840de,354216,353908,0.000718808417162984
https://sepolia.drpc.org,44,0.16,0.04,0.00,11.82,0xa01a3513dd58888cc9208f3862f9bf3fd6bb95ade57dfcd8270d71888d5b8536,354216,353908,0.000719436545468164
https://sepolia.drpc.org,45,0.16,0.04,0.00,11.80,0x3c65208102456daa3010872e005dffda789e56ffa1e6ed63aabbfc6b402afb3e,357570,353908,0.000718773974836424
https://sepolia.drpc.org,46,0.16,0.04,0.00,11.69,0x38a229ef177cdb8841de5e28a0703da81f6006d6f414fa62936f68d93937b9a4,357570,353908,0.00072009602542134
https://sepolia.drpc.org,47,0.16,0.04,0.00,10.85,0x42795ca4dba74ad39cd8f69ec1c0a821525b9e2b05bd8add8df42e010a326dc1,357570,353908,0.00071951361318206
https://sepolia.drpc.org,48,0.16,0.05,0.00,11.83,0x594c2edef250523dd2477da7a757680e0798bf7e22e407ae7acfcae3584fd7bf,357570,353908,0.000718964702581876
https://sepolia.drpc.org,49,0.16,0.04,0.00,11.81,0x60b48f3825e4b846332b67ad87c27b51ad7848af1a77076e8aff5f0465d4c195,357570,353908,0.000718696465091436
https://sepolia.drpc.org,50,0.16,0.04,0.00,11.74,0x2794cc6f91cc2fe54e0d9fb0980656842bef6ea0ae124a25046e7cd41e42ba38,354216,353908,0.00072001186786848
https://sepolia.drpc.org,51,0.16,0.05,0.00,11.93,0xe480da387f26c2b65872970b278ceca01e56f3693e83ae457069eb5d4f048ca8,354216,353908,0.00071969232787436
https://sepolia.drpc.org,52,0.16,0.07,0.00,10.89,0xeebe4c2dc28ca1d1a29cf9f5e29080aadceeeb249277d3621f329f7fecf275ae,354216,353908,0.000719322573997568
https://sepolia.drpc.org,53,0.16,0.04,0.00,11.89,0xe6077037491f20ce8898e9f61da0668a37c73f712d879b09a55d3b5ada5b384b,354216,353908,0.000718719107771368
https://sepolia.drpc.org,54,0.16,0.04,0.00,11.79,0xea724c6ac0c2f6c3e30d1da42e7347eb3c202c9f6e16394202bf8955b5f292f4,354216,353908,0.000718487357487912
https://sepolia.drpc.org,66,0.16,0.04,0.00,11.74,0xf77655644a9aa10a4cc202486a02309ed26169902bdc3529bb51baa6693a16c2,354216,353908,0.000719361521572968
https://sepolia.drpc.org,67,0.16,0.05,0.00,11.89,0x680e1be22746f87ff898f11e011810b9942cb7109b0e92baafde501bb8efb3ad,357570,353908,0.00071956921566794
https://sepolia.drpc.org,68,0.16,0.04,0.00,12.82,0xe6636b6f69f21dbb11020565f8852d6a88f19693e43ca3d919f2de1623e9127d,354216,353908,0.000718945710109056
https://sepolia.drpc.org,69,0.16,0.08,0.00,9.84,0xe6bdbdfb07bdf9bc92999f1ecae46c0d03dc32e91d5fda313acf161eef17b23b,354216,353908,0.000718970263184372
https://sepolia.drpc.org,70,0.16,0.04,0.00,11.80,0xdb7078c316e1120c2f54432dd2aee0483be3cf51150efc927dea9ee23b23360c,354216,353908,0.000718347002883732
