Provider,Row Number,Transaction Size (KB),Client CPU Time (ms),Client Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used,Transaction Cost (ETH)
https://sepolia.drpc.org,30,0.16,0.06,0.00,10.91,0x95321ac0e2c565a09960f67b6b640cc5fa334b21d6d3bf5478ac16b66fcccd21,464650,464342,0.000929151519492306
https://sepolia.drpc.org,40,0.16,0.05,0.00,25.89,0x55881da806975c896bbae2129ae6f71f236478bd2adc78b763279e3e4f99d39a,468880,464342,0.000929152183501366
https://sepolia.drpc.org,41,0.16,0.05,0.00,11.96,0x867735f281f12ba0320d2afe45aa98a5092bfe5fad3e380a928495ed70837cc8,468880,464342,0.000929152663630994
https://sepolia.drpc.org,42,0.16,0.04,0.00,10.81,0x68fe70d11099641731ff6467e56a85d46b855d4bc71e3b7cddc0305238182342,468880,464342,0.000929153203196398
https://sepolia.drpc.org,43,0.16,0.04,0.00,11.86,0x33f90d29f1a0544bc5fd300198fb7ae5cc62cbe312c19872c6f85bf763130c2a,468880,464342,0.000929153509662118
https://sepolia.drpc.org,44,0.16,0.06,0.00,11.74,0xcc35658ca8ae6043bc936c7738f85a0b381fed84df0228ffc6a94cc5a82ca785,468880,464342,0.000929154019045292
https://sepolia.drpc.org,45,0.16,0.05,0.00,10.80,0xb10215059058f581736a62752169a47c2146a01fe84fb769da4d13cf2bba44ae,468880,464342,0.000929154416986386
https://sepolia.drpc.org,46,0.16,0.06,0.00,11.85,0x8951ab508320b43805d0897dcd2c976843e2073d3aa0104ec4fe7bddaf33452d,464650,464342,0.000929155029453484
https://sepolia.drpc.org,47,0.16,0.04,0.00,11.88,0x62ec0ba707db53d02ce3fef9830eff50f2c30cc4ea6e9aea040769c90786831d,464650,464342,0.000929155472435752
https://sepolia.drpc.org,48,0.16,0.05,0.00,11.87,0x316c9740909e86c9b89101bde0ac65937d5ab499cbb4e00bc72af10f2e60243c,464650,464342,0.00092915536517275
https://sepolia.drpc.org,49,0.16,0.06,0.00,34.88,0x747218cf8f1843d71739bb5f4ce17a5ed1eb33b961b2d9d1f50a3eefe4eb0e71,464650,464342,0.000929155185472396
https://sepolia.drpc.org,50,0.16,0.06,0.00,11.79,0xfe4119f900da614d6825c57f2bb51c75356739679ffcb580472f888b336d0502,464650,464342,0.000929155858768296
https://sepolia.drpc.org,51,0.16,0.05,0.00,11.84,0xf9f51cf6e2f60a1bc63b34a25d5d8a6945a2f97551631474946af8623309a73f,464650,464342,0.00092915679766782
https://sepolia.drpc.org,52,0.16,0.12,0.00,10.79,0x1af1c4cde25585b79d6e31d2c9f6c67feb0fa7f232523f5277a7b8ada970eba5,464650,464342,0.000929157853581528
https://sepolia.drpc.org,53,0.16,0.06,0.00,11.71,0x99772637ced2357eaee8dc7bc6588c549f61573da2e5265779e06b88588c2d21,468880,464342,0.000929159041832706
https://sepolia.drpc.org,54,0.16,0.05,0.00,35.91,0x8bfbc38396eaca864f4a50f93e940227bb40b43247632d1b64069f336de7d82c,464650,464342,0.00092916037774464
https://sepolia.drpc.org,55,0.16,0.07,0.00,10.79,0xeb6d88ba43fabef9c7937cdf7919e983698c8ec0e91d987810aba7b37fd7323b,464650,464342,0.000929160159968242
https://sepolia.drpc.org,56,0.16,0.05,0.00,11.79,0x14a55d800604c8b4de79b737aa325fe6533b7585ce57622285324b62e1778921,464650,464342,0.000929161635182776
