QoS_type,QoS_type_EncryptionTime(ms),QoS_type_EncryptedSize(KB),QoD_model,QoD_model_EncryptionTime(ms),QoD_model_EncryptedSize(KB),QoD_os-version,QoD_os-version_EncryptionTime(ms),QoD_os-version_EncryptedSize(KB),QoS_operator,QoS_operator_EncryptionTime(ms),QoS_operator_EncryptedSize(KB),MOS,MOS_EncryptionTime(ms),MOS_EncryptedSize(KB)
3,4.374,91.213,6,3.111,91.188,14,3.868,91.182,4,2.635,91.145,4,2.426,91.175
4,2.684,91.274,8,2.477,91.252,4,2.377,91.17,3,2.338,91.173,4,2.245,91.141
5,2.852,91.225,8,2.412,91.098,4,3.015,91.205,4,2.53,91.102,4,2.461,91.232
4,2.69,91.06,8,2.757,91.184,4,2.502,91.236,3,2.649,91.157,4,2.761,91.192
5,2.844,91.208,14,2.857,91.142,17,2.308,91.186,4,2.296,91.146,5,3.964,91.212
3,3.006,91.14,14,2.376,91.147,17,2.868,91.231,4,3.868,91.172,5,3.089,91.184
2,2.274,91.099,8,3.273,91.242,4,2.934,91.22,2,2.348,91.108,4,2.944,91.122
4,3.625,91.152,15,3.018,91.202,11,4.117,91.28,2,2.215,91.188,5,2.715,91.173
5,2.478,91.18,8,3.484,91.127,4,3.478,91.197,4,4.339,91.138,2,3.862,91.156
2,3.706,91.19,14,2.444,91.148,17,2.454,91.25,2,2.433,91.209,5,2.587,91.093
2,2.491,91.171,14,2.579,91.238,17,2.903,91.206,4,2.595,91.269,4,3.666,91.241
2,2.709,91.155,15,2.831,91.172,11,2.362,91.115,2,2.525,91.172,5,2.404,91.214
2,3.382,91.178,3,2.885,91.141,2,3.95,91.209,2,2.868,91.236,5,4.181,91.224
2,2.503,91.207,3,2.547,91.157,2,4.018,91.185,4,2.385,91.109,4,2.926,91.223
2,5.375,91.219,3,3.105,91.106,2,2.365,91.11,1,4.199,91.198,3,4.709,91.235
5,2.424,91.221,1,2.692,91.246,1,2.329,91.175,1,2.288,91.165,5,2.864,91.209
2,2.628,91.204,3,2.77,91.176,2,2.405,91.105,1,2.552,91.25,5,2.481,91.175
2,2.488,91.236,14,2.427,91.13,17,2.407,91.1,2,2.336,91.108,3,2.413,91.204
3,2.439,91.248,1,2.438,91.195,1,2.391,91.159,4,2.745,91.178,4,2.925,91.186
2,2.538,91.162,3,4.387,91.184,2,3.578,91.15,1,2.341,91.174,3,2.642,91.274
5,3.978,91.177,8,4.498,91.211,4,2.659,91.253,4,2.467,91.243,5,2.348,91.172
5,2.232,91.154,8,4.047,91.223,4,3.922,91.219,4,3.871,91.184,4,4.611,91.277
5,3.948,91.193,8,2.434,91.172,4,2.954,91.194,4,2.962,91.171,4,2.342,91.157
5,2.257,91.202,3,2.366,91.208,2,2.984,91.199,4,2.424,91.188,4,4.09,91.136
4,2.287,91.099,15,2.197,91.241,11,2.32,91.239,2,2.471,91.125,5,2.438,91.243
3,2.475,91.123,3,3.85,91.12,2,3.832,91.164,4,2.391,91.112,4,3.404,91.191
2,2.439,91.15,15,2.556,91.217,11,2.535,91.28,3,2.283,91.252,4,2.31,91.232
2,2.368,91.248,15,3.945,91.151,11,4.016,91.125,2,4.227,91.266,4,2.384,91.147
5,2.604,91.221,8,3.764,91.16,4,3.846,91.167,4,2.553,91.055,1,2.428,91.206
5,3.975,91.225,4,3.745,91.134,8,4.082,91.112,4,4.156,91.178,3,4.111,91.18
5,2.689,91.235,15,2.372,91.153,12,2.673,91.244,4,2.333,91.154,4,2.317,91.123
2,2.409,91.235,3,2.731,91.148,2,2.581,91.117,3,2.449,91.18,4,2.337,91.235
5,2.435,91.273,3,2.462,91.233,2,2.371,91.155,4,3.969,91.208,3,2.384,91.149
2,2.325,91.119,3,3.181,91.169,2,2.981,91.115,1,3.69,91.203,5,2.85,91.177
